unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked
-1,flicker_40Hz,93829,413.9583333333333,373.05555555555554,1.1096425912137007,0.05197211682696549,0.0390477148082474,0.0195238574041237,0.00037052727110968044,2.9221229050902083e-16,347.00283078802954,True,5.844245810180417e-16,True
-2,flicker_40Hz,192377,847.6041666666665,771.0416666666667,1.0992974871656307,0.04730034107728926,0.015999409509465195,0.007999704754732597,5.879745520433186e-05,4.500220265243658e-06,328.18149290033773,True,4.500220265243658e-06,True
-1,flicker_20Hz,97547,519.7222222222222,346.52777777777777,1.4997995991983968,0.1999358666025332,0.1436735832319645,0.07183679161598225,0.005150325959559648,1.2509515997813653e-219,339.14019868887704,True,2.5019031995627306e-219,True
-2,flicker_20Hz,198791,872.7777777777777,752.1527777777778,1.1603730034161202,0.07423394162143673,0.04229540961465419,0.021147704807327094,0.0004421972342293884,2.4271356630055548e-39,332.9984846740557,True,2.4271356630055548e-39,True
-1,phase_reversing_1,96195,411.80555555555554,390.06944444444446,1.0557236959230905,0.02710660777691172,0.005091593719115501,0.0025457968595577504,-3.914509747649019e-06,0.5360941829146156,54.385038193999804,True,0.5360941829146156,False
-2,phase_reversing_1,195539,840.4513888888888,785.1736111111111,1.0704019811612788,0.03400401554957491,0.012308215864863912,0.006154107932431956,3.2759142660452715e-05,0.0006077734135408358,189.21257540272038,True,0.0012155468270816717,True
