unit,label,region,depth_um,n_trials,count_pre,count_post,fr_pre,fr_post,pct_change,mod_index,p_raw,p_fdr,significant
-1,mua_pooled,CTX,626.8199462890625,60,49351,53251,411.2583333333333,443.7583333333333,7.90257542906932,0.03801095495214518,0.16190017189998973,0.30617704603510265,False
-2,mua_pooled,HPC,1812.88720703125,60,96357,102383,802.975,853.1916666666667,6.253826914495055,0.0303210224413807,0.30617704603510265,0.30617704603510265,False
