unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz,cell_type
15,flicker_40Hz,149,0.9027777777777778,0.1736111111111111,5.2,0.6774193548387097,0.0714489139186759,0.03572445695933795,-0.0054718967099263585,0.82730371180092,123.65278643577234,False,0.8909847143018271,False,good,CTX,422.42724609375,0.5637616689434286,principal
25,flicker_40Hz,4818,24.930555555555554,16.25,1.534188034188034,0.21079258010118038,0.19397015883725444,0.09698507941862722,0.009200460229303868,1.8790171516041953e-20,358.24530379711865,True,8.455577182218879e-19,True,good,CTX,480.804443359375,17.962435828097185,interneuron
23,flicker_40Hz,1149,7.291666666666667,3.298611111111111,2.210526315789474,0.3770491803278688,0.3156187577086731,0.15780937885433655,0.02405441312064099,3.162674462446149e-13,18.41710023155251,True,7.1160175405038345e-12,True,good,CTX,502.58251953125,6.988666583779414,principal
20,flicker_40Hz,1717,8.194444444444445,6.145833333333334,1.3333333333333333,0.14285714285714282,0.11384740809331718,0.05692370404665859,0.002659445791064298,0.003823841941496055,332.7263824921973,True,0.024581841052474636,True,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,flicker_40Hz,2373,10.972222222222221,8.75,1.253968253968254,0.11267605633802813,0.046676235742224584,0.023338117871112292,0.00012331220940242586,0.2746108659882494,103.00568823451651,True,0.6743828048428924,False,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,flicker_40Hz,1206,6.909722222222222,3.6805555555555554,1.8773584905660379,0.30491803278688523,0.2977035185709028,0.1488517592854514,0.021345358147969302,2.162897629986464e-12,339.72385019593924,True,3.2443464449796954e-11,True,good,CTX,555.851318359375,6.068844913398031,interneuron
32,flicker_40Hz,5048,23.92361111111111,18.993055555555557,1.259597806215722,0.1148867313915857,0.09178572501537376,0.04589286250768688,0.0019084346299874054,2.4024920017880526e-05,37.72457947249057,True,0.00021622428016092473,True,good,CTX,582.375,21.277750063708364,principal
35,flicker_40Hz,2142,10.347222222222221,7.1180555555555545,1.453658536585366,0.18489065606361835,0.12173651621520258,0.06086825810760129,0.0032396038571250573,0.0003556729573669107,341.1244332042339,True,0.00266754718025183,True,good,CTX,599.0913696289062,8.014119387920724,principal
45,flicker_40Hz,61,0.41666666666666663,0.06944444444444445,5.999999999999999,0.7142857142857143,0.09341236398640385,0.04670618199320192,-0.014448841439678199,0.8762896957891118,67.09951251951853,False,0.8909847143018271,False,good,CTX,738.1071166992188,0.2599238010497071,principal
50,flicker_40Hz,2006,9.444444444444445,7.395833333333333,1.2769953051643192,0.1216494845360825,0.07708882198753998,0.03854441099376999,0.0009876594850007255,0.050761274284739324,4.345835697649795,True,0.2538063714236966,False,good,CTX,766.4937744140625,8.659379234971063,interneuron
