unit,condition,n_trials,fr_pre_hz,fr_stim_hz,baseline_sd_hz,z_stim,z_stim_sem,delta_hz,mod_index,pct_change,p_wilcoxon,p_permutation,q_wilcoxon,z_pct_population,responder,direction
-1,flicker_40Hz,60,363.225,391.0833333333333,130.19986022148763,0.2139659235113042,0.185610367028186,27.85833333333329,0.036932288962294314,7.669718035193968,0.8597604815815457,0.2746725327467253,0.8597604815815457,-0.7071067811865482,False,none
-2,flicker_40Hz,60,733.3166666666667,801.8,296.08284409092624,0.23129787726674983,0.15641862377038682,68.48333333333323,0.04461115876100615,9.338848610195672,0.4395411325269485,0.198980101989801,0.8597604815815457,0.7071067811865468,False,none
-1,flicker_20Hz,60,353.9583333333333,406.5375,105.25865203242734,0.49952346578092666,0.2148820839346339,52.57916666666671,0.06913800754989896,14.854620364920553,0.02878609799823175,0.006199380061993801,0.02878609799823175,-0.7071067811865476,True,up
-2,flicker_20Hz,60,695.4666666666667,828.4,249.30491280362406,0.5332158594004285,0.1781622863370176,132.93333333333328,0.0872342287164231,19.114263803680974,0.0029386115747507403,0.0012998700129987,0.005877223149501481,0.7071067811865476,True,up
-1,phase_reversing_1,60,395.8,400.9375,172.2763890882559,0.02982126585766832,0.12862598743832948,5.137499999999989,0.006448171449191219,1.2980040424456767,0.6587079915142839,0.7972202779722027,0.6587079915142839,-0.7071067811865476,False,none
-2,phase_reversing_1,60,784.4916666666667,814.875,333.16523222460785,0.0911959904413135,0.13126606061082302,30.383333333333326,0.01899710301994539,3.872996313961269,0.4351951516807502,0.41685831416858316,0.6587079915142839,0.7071067811865475,False,none
-1,static,60,405.96666666666664,410.89166666666665,208.8124790629846,0.023585755133506563,0.10967213245938442,4.925000000000011,0.006029197229221727,1.21315378930947,0.5076181597232343,0.8392160783921608,0.796671651975357,-0.7071067811865475,False,none
-2,static,60,808.2666666666667,828.8416666666667,384.14641747190245,0.05356030686269493,0.11230506594569492,20.575000000000045,0.01256789155675915,2.5455707687231994,0.796671651975357,0.6637336266373363,0.796671651975357,0.7071067811865475,False,none
