unit,condition,baseline_mean_hz,baseline_sd_hz,baseline_cv,label,region,depth_um,fr_hz,cell_type
15,flicker_40Hz,0.475,1.6467771555374457,3.4668992748156753,good,CTX,422.42724609375,0.5637616689434286,principal
25,flicker_40Hz,23.241666666666667,17.475814636869497,0.7519174458316026,good,CTX,480.804443359375,17.962435828097185,interneuron
23,flicker_40Hz,4.025,4.129593402099856,1.0259859384099022,good,CTX,502.58251953125,6.988666583779414,principal
20,flicker_40Hz,9.608333333333333,6.478227423883446,0.6742300874813648,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,flicker_40Hz,9.841666666666667,15.142515111066881,1.5386128817341453,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,flicker_40Hz,6.091666666666667,5.449381973112997,0.894563388199124,good,CTX,555.851318359375,6.068844913398031,interneuron
32,flicker_40Hz,20.408333333333335,5.3568427164598456,0.26248310574731787,good,CTX,582.375,21.277750063708364,principal
35,flicker_40Hz,9.825,2.9816452393491306,0.30347534242739244,good,CTX,599.0913696289062,8.014119387920724,principal
45,flicker_40Hz,0.26666666666666666,0.38151743807531996,1.43069039278245,good,CTX,738.1071166992188,0.2599238010497071,principal
50,flicker_40Hz,6.258333333333334,8.136077918068933,1.3000390814490972,good,CTX,766.4937744140625,8.659379234971063,interneuron
49,flicker_40Hz,13.183333333333334,5.720552615108284,0.4339230807920316,good,CTX,790.2333984375,12.928538652212142,principal
57,flicker_40Hz,3.15,5.149676365235652,1.6348178937256037,good,CTX,799.13525390625,3.417384769356727,principal
56,flicker_40Hz,0.6,1.3,2.166666666666667,good,CTX,801.6923828125,1.461032872567075,principal
55,flicker_40Hz,0.5666666666666667,0.828988674363059,1.462921190052457,good,CTX,805.0826416015625,0.5582229578099492,principal
58,flicker_40Hz,0.20833333333333334,0.8722177989979848,4.186645435190327,good,CTX,842.6435546875,1.3597535832691678,principal
65,flicker_40Hz,34.4,13.72522009538159,0.39898895626109276,good,CTX,872.6962890625,36.99463414940352,interneuron
64,flicker_40Hz,5.058333333333334,6.319343100530483,1.249293528935186,good,CTX,879.1714477539062,5.669662089563702,principal
67,flicker_40Hz,0.15,0.27838821814150105,1.8559214542766738,good,CTX,927.9193115234375,1.1939878714886087,principal
66,flicker_40Hz,0.16666666666666666,0.5055250296034367,3.0331501776206204,good,CTX,939.7611694335938,0.27733117889778486,principal
72,flicker_40Hz,2.475,1.4417148354188034,0.5825110446136579,good,CTX,956.0975341796875,2.0576311860875593,principal
77,flicker_40Hz,2.7416666666666667,1.9631854783036222,0.7160554936061844,good,HPC,1062.6483154296875,3.2547840353667277,principal
79,flicker_40Hz,0.825,1.5460298617210901,1.873975589964958,good,HPC,1104.9130859375,0.6132144469209223,principal
85,flicker_40Hz,14.666666666666666,7.824995562654049,0.5335224247264124,good,HPC,1198.19384765625,15.414628706696707,interneuron
89,flicker_40Hz,11.066666666666666,4.933277026705699,0.44577804458184034,good,HPC,1203.643798828125,11.821192047740103,principal
87,flicker_40Hz,0.43333333333333335,1.141879542197376,2.6351066358400983,good,HPC,1216.047607421875,0.39720471271522967,principal
86,flicker_40Hz,7.925,6.628112476414382,0.8363548866138022,good,HPC,1216.7545166015625,8.941062258330867,unclassified
90,flicker_40Hz,17.341666666666665,6.622242612757571,0.3818688676265779,good,HPC,1262.096923828125,18.133344628787402,principal
98,flicker_40Hz,9.508333333333333,4.979534505241317,0.5237021390262561,good,HPC,1341.424072265625,10.66241455417147,principal
101,flicker_40Hz,2.4,3.8043834366863356,1.5851597652859732,good,HPC,1344.91796875,1.4661759614767342,principal
97,flicker_40Hz,0.14166666666666666,0.38828325857405827,2.7408230016992348,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,flicker_40Hz,16.216666666666665,5.586715393582251,0.34450454636683975,good,HPC,1363.6138916015625,15.607296729697023,principal
105,flicker_40Hz,0.19166666666666668,0.5007633062524538,2.6126781195780198,good,HPC,1373.565673828125,0.13609404499406277,principal
109,flicker_40Hz,5.525,4.531762902006238,0.8202285795486404,good,HPC,1397.14111328125,4.8515153307040455,principal
108,flicker_40Hz,0.4583333333333333,0.6664061991174918,1.4539771617108912,good,HPC,1402.908203125,0.49769275756549697,principal
117,flicker_40Hz,0.6166666666666667,2.2919545273751742,3.7166830173651473,good,HPC,1462.09912109375,1.1967572270553484,principal
128,flicker_40Hz,6.466666666666667,5.867897598137021,0.9074068450727352,good,HPC,1481.024169921875,5.488862733277985,principal
138,flicker_40Hz,4.058333333333334,2.0997850419083903,0.5174008316817389,good,HPC,1647.69873046875,3.940397349246701,principal
137,flicker_40Hz,13.675,7.20232890575449,0.5266785305853374,good,HPC,1648.5931396484375,13.067797674996765,principal
136,flicker_40Hz,0.8416666666666667,1.829142938342679,2.173239134664569,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,flicker_40Hz,2.9,2.477902338672773,0.8544490823009563,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,flicker_40Hz,4.083333333333333,5.621511263787425,1.3766966360295736,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,flicker_40Hz,0.11666666666666667,0.2640496586292477,2.2632827882506943,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,flicker_40Hz,10.141666666666667,6.411637639653557,0.6322074911737278,good,HPC,2025.796142578125,11.272464023301833,principal
174,flicker_40Hz,2.816666666666667,3.035850603848761,1.0778167824315128,good,HPC,2044.546142578125,3.1926713462269958,principal
175,flicker_40Hz,14.3,8.246312307126543,0.5766651963025554,good,HPC,2050.2314453125,14.512214414163402,interneuron
15,flicker_20Hz,0.36666666666666664,0.8106924338010207,2.210979364911875,good,CTX,422.42724609375,0.5637616689434286,principal
25,flicker_20Hz,20.275,16.15844077667562,0.7969637867657519,good,CTX,480.804443359375,17.962435828097185,interneuron
23,flicker_20Hz,4.225,4.89338413915496,1.1581974293857893,good,CTX,502.58251953125,6.988666583779414,principal
20,flicker_20Hz,9.041666666666666,5.091898521726012,0.5631592835088678,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,flicker_20Hz,9.616666666666667,14.17873015784167,1.47439135090208,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,flicker_20Hz,6.583333333333333,5.803854083470934,0.8815980886284963,good,CTX,555.851318359375,6.068844913398031,interneuron
32,flicker_20Hz,21.208333333333332,5.491881634639341,0.25894923228161926,good,CTX,582.375,21.277750063708364,principal
35,flicker_20Hz,9.375,2.861562801454245,0.3052333654884528,good,CTX,599.0913696289062,8.014119387920724,principal
45,flicker_20Hz,0.4,0.5307227776030219,1.3268069440075547,good,CTX,738.1071166992188,0.2599238010497071,principal
50,flicker_20Hz,4.608333333333333,5.25364291600494,1.1400310125146342,good,CTX,766.4937744140625,8.659379234971063,interneuron
49,flicker_20Hz,13.325,5.921588328593379,0.44439687268993466,good,CTX,790.2333984375,12.928538652212142,principal
57,flicker_20Hz,3.658333333333333,5.8924327649018515,1.6106877717271577,good,CTX,799.13525390625,3.417384769356727,principal
56,flicker_20Hz,1.1333333333333333,3.245338537382845,2.8635340035730987,good,CTX,801.6923828125,1.461032872567075,principal
55,flicker_20Hz,0.7,0.9840392946083675,1.4057704208690964,good,CTX,805.0826416015625,0.5582229578099492,principal
58,flicker_20Hz,0.38333333333333336,1.2824672402140422,3.345566713601849,good,CTX,842.6435546875,1.3597535832691678,principal
65,flicker_20Hz,35.483333333333334,11.539052050416544,0.3251963940934676,good,CTX,872.6962890625,36.99463414940352,interneuron
64,flicker_20Hz,4.316666666666666,5.226508288416741,1.2107741208687433,good,CTX,879.1714477539062,5.669662089563702,principal
67,flicker_20Hz,0.39166666666666666,0.6061605031306111,1.5476438377802837,good,CTX,927.9193115234375,1.1939878714886087,principal
66,flicker_20Hz,0.2,0.5567764362830021,2.7838821814150103,good,CTX,939.7611694335938,0.27733117889778486,principal
72,flicker_20Hz,2.466666666666667,1.4255603186895398,0.5779298589281918,good,CTX,956.0975341796875,2.0576311860875593,principal
77,flicker_20Hz,2.675,2.2376047461515625,0.8364877555706776,good,HPC,1062.6483154296875,3.2547840353667277,principal
79,flicker_20Hz,0.49166666666666664,0.9638968939789266,1.9604682589401898,good,HPC,1104.9130859375,0.6132144469209223,principal
85,flicker_20Hz,13.041666666666666,7.168967653869156,0.5496972002966765,good,HPC,1198.19384765625,15.414628706696707,interneuron
89,flicker_20Hz,10.616666666666667,4.865153874465043,0.4582562519119349,good,HPC,1203.643798828125,11.821192047740103,principal
87,flicker_20Hz,0.4666666666666667,1.5781494085021086,3.3817487325045184,good,HPC,1216.047607421875,0.39720471271522967,principal
86,flicker_20Hz,8.208333333333334,5.673984245856013,0.6912468116778898,good,HPC,1216.7545166015625,8.941062258330867,unclassified
90,flicker_20Hz,16.3,4.730398150966434,0.29020847551941314,good,HPC,1262.096923828125,18.133344628787402,principal
98,flicker_20Hz,11.216666666666667,5.485106096411344,0.4890139164705507,good,HPC,1341.424072265625,10.66241455417147,principal
101,flicker_20Hz,1.3916666666666666,1.6685614229695658,1.198966291954179,good,HPC,1344.91796875,1.4661759614767342,principal
97,flicker_20Hz,0.13333333333333333,0.3858612300930075,2.8939592256975564,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,flicker_20Hz,17.433333333333334,5.824850975680741,0.33412147088034844,good,HPC,1363.6138916015625,15.607296729697023,principal
105,flicker_20Hz,0.14166666666666666,0.38828325857405815,2.7408230016992343,good,HPC,1373.565673828125,0.13609404499406277,principal
109,flicker_20Hz,5.35,4.458419002292181,0.8333493462228376,good,HPC,1397.14111328125,4.8515153307040455,principal
