unit,label,region,depth_um,n_trials,count_pre,count_post,fr_pre,fr_post,pct_change,mod_index,p_raw,p_fdr,significant
39,mua,CTX,654.4733276367188,60,3339,3092,27.825,25.766666666666666,-7.397424378556454,-0.03840771264189084,3.2444749716276056e-05,0.0010382319909208338,True
37,mua,CTX,626.8199462890625,60,3344,3901,27.866666666666667,32.50833333333333,16.656698564593302,0.07688060731538993,0.4751386214405944,0.7596160788399987,False
33,mua,CTX,553.48486328125,60,2961,4012,24.675,33.43333333333333,35.49476528199933,0.15072422199913954,6.120389572940319e-08,4.896311658352255e-06,True
36,mua,CTX,626.8485717773438,60,2743,3365,22.858333333333334,28.041666666666668,22.67590229675538,0.10183366077275705,0.3729947913474265,0.7067828809782974,False
19,mua,CTX,464.17071533203125,60,2835,2814,23.625,23.45,-0.7407407407407407,-0.0037174721189591076,0.882831385341866,0.9751431903793352,False
34,mua,CTX,612.848876953125,60,2542,2658,21.183333333333334,22.15,4.563335955940205,0.022307692307692306,0.12002140323855702,0.4174657503949809,False
3,mua,CTX,79.40536499023438,60,1835,2200,15.291666666666666,18.333333333333332,19.891008174386922,0.09045848822800495,0.4504398690660154,0.7507331151100257,False
14,mua,CTX,424.4336242675781,60,1936,1682,16.133333333333333,14.016666666666667,-13.119834710743802,-0.07020453289110005,0.04246164229641441,0.26943149288280427,False
48,mua,CTX,727.296875,60,2106,1456,17.55,12.133333333333333,-30.864197530864196,-0.18248175182481752,4.1469307215767656e-10,6.635089154522825e-08,True
52,mua,CTX,765.3553466796875,60,1566,2061,13.05,17.175,31.60919540229885,0.13647642679900746,0.00041367173587016147,0.0073541641932473156,True
53,mua,CTX,810.2553100585938,60,1547,1152,12.891666666666667,9.6,-25.533290239172594,-0.1463505001852538,0.000205406389394799,0.004695003186166834,True
24,mua,CTX,505.1506652832031,60,1302,1306,10.85,10.883333333333333,0.30721966205837176,0.0015337423312883436,0.6346891025997519,0.8556944838302887,False
69,mua,CTX,933.3778076171875,60,1311,1018,10.925,8.483333333333333,-22.349351639969488,-0.1258050665521683,0.009323268817313126,0.09944820071800668,False
31,mua,CTX,584.6793823242188,60,1374,1252,11.45,10.433333333333334,-8.879184861717613,-0.046458492003046456,0.016545429410508173,0.14671457352017608,False
61,mua,CTX,847.1752319335938,60,725,742,6.041666666666667,6.183333333333334,2.3448275862068964,0.011588275391956374,0.9178101559122808,0.9751431903793352,False
1,mua,CTX,72.90603637695312,60,988,1177,8.233333333333333,9.808333333333334,19.129554655870447,0.08729792147806005,0.396946856537322,0.7162878330774597,False
43,mua,CTX,749.934326171875,60,736,1234,6.133333333333334,10.283333333333333,67.66304347826087,0.25279187817258886,7.314977827698118e-07,3.901321508105663e-05,True
63,mua,CTX,891.9421997070312,60,751,607,6.258333333333334,5.058333333333334,-19.174434087882823,-0.10603829160530191,0.017422355605520908,0.14671457352017608,False
28,mua,CTX,512.4619750976562,60,1035,1031,8.625,8.591666666666667,-0.3864734299516908,-0.001936108422071636,0.8798269302592161,0.9751431903793352,False
47,mua,CTX,742.1814575195312,60,963,704,8.025,5.866666666666666,-26.895119418483905,-0.15536892621475704,0.0026478980517221666,0.03530530735629556,True
42,mua,CTX,702.7573852539062,60,706,945,5.883333333333334,7.875,33.85269121813031,0.14476075105996367,6.376509946407962e-05,0.0017004026523754566,True
21,mua,CTX,488.3040771484375,60,890,848,7.416666666666667,7.066666666666666,-4.719101123595506,-0.024165707710011506,0.27333799186408037,0.6247725528321837,False
70,mua,CTX,967.37646484375,60,721,647,6.008333333333334,5.391666666666667,-10.263522884882109,-0.054093567251461985,0.2953563575127013,0.6473564000278383,False
5,mua,CTX,125.89278411865234,60,708,800,5.9,6.666666666666667,12.994350282485875,0.0610079575596817,0.1656803175400946,0.4909046445632433,False
2,mua,CTX,81.89913940429688,60,627,776,5.225,6.466666666666667,23.76395534290271,0.10620099786172488,0.3990427254414606,0.7162878330774597,False
76,mua,CTX,1066.022705078125,60,635,789,5.291666666666667,6.575,24.251968503937007,0.10814606741573034,0.07283791819106848,0.3271481317581242,False
41,mua,CTX,707.9666137695312,60,351,566,2.925,4.716666666666667,61.25356125356125,0.23446019629225737,0.0005076903295076016,0.008123045272121626,True
18,mua,CTX,463.1156005859375,60,502,356,4.183333333333334,2.966666666666667,-29.083665338645417,-0.17016317016317017,0.0016824677135978802,0.0244722576523328,True
73,mua,CTX,983.28515625,60,465,566,3.875,4.716666666666667,21.72043010752688,0.0979631425800194,0.09827903410170079,0.3743963203874316,False
38,mua,CTX,649.0108642578125,60,467,504,3.8916666666666666,4.2,7.922912205567452,0.03810504634397528,0.33009076775589974,0.6773623464997047,False
6,mua,CTX,125.71984100341797,60,425,595,3.5416666666666665,4.958333333333333,40.0,0.16666666666666666,0.07050788024138607,0.3271481317581242,False
40,mua,CTX,700.1046752929688,60,423,516,3.525,4.3,21.98581560283688,0.09904153354632587,0.022443264481123968,0.1632237416809016,False
10,mua,CTX,305.61083984375,60,392,499,3.2666666666666666,4.158333333333333,27.29591836734694,0.12008978675645342,0.09002718965588538,0.360623919970364,False
74,mua,CTX,1005.5782470703125,60,476,549,3.966666666666667,4.575,15.336134453781513,0.07121951219512195,0.4996794565515982,0.7798471072320841,False
12,mua,CTX,388.285888671875,60,419,502,3.4916666666666667,4.183333333333334,19.809069212410503,0.09011943539630836,0.20224930361843352,0.5393314763158228,False
0,mua,CTX,73.41268920898438,60,436,571,3.6333333333333333,4.758333333333334,30.96330275229358,0.13406156901688182,0.4610693773254372,0.7596160788399987,False
71,mua,CTX,967.621337890625,60,385,486,3.2083333333333335,4.05,26.233766233766232,0.11595866819747416,0.0003841413498213772,0.0073541641932473156,True
60,mua,CTX,855.4642944335938,60,380,246,3.1666666666666665,2.05,-35.26315789473684,-0.21405750798722045,0.0033155426887105694,0.040806679245668546,True
46,mua,CTX,730.2316284179688,60,274,249,2.283333333333333,2.075,-9.124087591240876,-0.04780114722753346,0.37655709181074437,0.7067828809782974,False
13,mua,CTX,385.3935546875,60,339,432,2.825,3.6,27.43362831858407,0.12062256809338522,0.015665695760063617,0.14671457352017608,False
44,mua,CTX,743.8521728515625,60,303,358,2.525,2.9833333333333334,18.151815181518153,0.0832072617246596,0.06716197115180167,0.3271481317581242,False
4,mua,CTX,130.6201171875,60,334,422,2.783333333333333,3.5166666666666666,26.347305389221557,0.1164021164021164,0.5575715335630702,0.8260319015749189,False
11,mua,CTX,331.4168395996094,60,293,329,2.441666666666667,2.7416666666666667,12.286689419795222,0.05787781350482315,0.20149916424501013,0.5393314763158228,False
8,mua,CTX,218.69528198242188,60,430,588,3.5833333333333335,4.9,36.74418604651163,0.15520628683693516,0.12665130958287563,0.43115339432468297,False
54,mua,CTX,809.6605224609375,60,234,294,1.95,2.45,25.641025641025642,0.11363636363636363,0.03705352888272139,0.25776367918414883,False
75,mua,CTX,1006.634033203125,60,335,343,2.7916666666666665,2.8583333333333334,2.388059701492537,0.011799410029498525,0.3798957985258349,0.7067828809782974,False
9,mua,CTX,250.51275634765625,60,247,370,2.058333333333333,3.0833333333333335,49.797570850202426,0.1993517017828201,0.021734476466186897,0.1632237416809016,False
51,mua,CTX,770.325439453125,60,198,246,1.65,2.05,24.242424242424242,0.10810810810810811,0.222778189366459,0.5685553336260305,False
59,mua,CTX,851.4287719726562,60,165,280,1.375,2.3333333333333335,69.6969696969697,0.25842696629213485,0.004699006539969732,0.05370293188536836,False
7,mua,CTX,186.6515655517578,60,210,235,1.75,1.9583333333333333,11.904761904761905,0.056179775280898875,0.633440050072685,0.8556944838302887,False
16,mua,CTX,424.6138000488281,60,165,224,1.375,1.8666666666666667,35.75757575757576,0.15167095115681234,0.23665992627418964,0.5737210333919749,False
68,mua,CTX,932.6470336914062,60,114,148,0.95,1.2333333333333334,29.82456140350877,0.1297709923664122,0.07689895112567877,0.3271481317581242,False
17,mua,CTX,462.4216613769531,60,123,139,1.025,1.1583333333333334,13.008130081300813,0.061068702290076333,0.4795076497677492,0.7596160788399987,False
26,mua,CTX,548.7279663085938,60,94,109,0.7833333333333333,0.9083333333333333,15.957446808510639,0.07389162561576355,0.377850411551521,0.7067828809782974,False
