unit,label,contam_pct,n_spikes,fr_hz,depth_um,region,contam_repro,hill_fp_pct,ratio_original
1,mua,92.8,19036,7.531064652636566,72.90603637695312,CTX,92.83894706796666,,0.8462786923255275
0,mua,102.0,8194,3.241728501980669,73.41268920898438,CTX,101.97044334841877,,1.1059034702832071
3,mua,114.2,38548,15.250445483811427,79.40536499023438,CTX,114.18013080670933,,0.8817515373663324
2,mua,162.0,12195,4.824613019484289,81.89913940429688,CTX,162.02160776065438,,1.5051332192617943
6,mua,172.2,9286,3.673747970392055,125.71984100341797,CTX,172.19105382509426,,1.4883268482490273
5,mua,116.8,13925,5.509039466692802,125.89278411865234,CTX,116.82808716164449,,1.2375432174089893
4,mua,180.9,6191,2.44929718766931,130.6201171875,CTX,180.86367484872298,,1.4080459770114944
7,mua,166.1,3611,1.428591850213839,186.6515655517578,CTX,166.11111110634735,,1.2743362831858407
8,mua,139.8,5738,2.2700803202788724,218.69528198242188,CTX,139.75441639625257,,1.066826490860054
9,mua,188.5,5362,2.1213263641225715,250.51275634765625,CTX,188.5307660072918,,1.4029438822447102
10,mua,231.6,8653,3.4233191027140264,305.61083984375,CTX,231.61290321842856,,1.4806295399515739
11,mua,295.7,5968,2.361073431757461,331.4168395996094,CTX,295.74328748088243,,1.8670886075949369
13,mua,178.6,6543,2.588556210453932,385.3935546875,CTX,178.61420016763495,,1.227746053073564
12,mua,140.1,8420,3.331139124563978,388.285888671875,CTX,140.07547169415582,,1.117348786671496
15,good,0.0,1425,0.5637616689434286,422.42724609375,CTX,0.0,0.0,0.0
14,mua,38.4,36189,14.317172657820166,424.4336242675781,CTX,38.43784649304751,,0.5060898782024359
16,mua,156.7,3135,1.240275671675543,424.6138000488281,CTX,156.73981190840175,,1.0580912863070537
17,mua,178.4,2717,1.0749055821188038,462.4216613769531,CTX,178.4386617022782,,1.4534883720930232
18,mua,77.1,9942,3.9332761492179418,463.1156005859375,CTX,77.11010767208393,,0.660180681028492
19,mua,54.5,51570,20.402238082394817,464.17071533203125,CTX,54.512611734654946,,0.6813756281407035
25,good,1.8,45403,17.962435828097185,480.804443359375,CTX,1.7939007374195628,10.031738793191813,0.13209195476679664
21,mua,48.6,16452,6.508776826285816,488.3040771484375,CTX,48.61225159782849,,0.6673753838884952
23,good,7.6,17665,6.988666583779414,502.58251953125,CTX,7.611673469592868,13.038056222082833,0.21044776119402986
22,mua,320.0,1415,0.5598054467052291,503.4034729003906,CTX,319.99999998645796,,1.8
24,mua,63.7,26807,10.605444953941397,505.1506652832031,CTX,63.68658993321546,,0.5539079690041137
20,good,8.8,19919,7.8803990762695815,511.6981201171875,CTX,8.769792934997229,12.349886699336043,0.10190009193993257
28,mua,79.2,17989,7.116848184297078,512.4619750976562,CTX,79.15100596500717,,0.8142167220042258
27,good,2.3,33205,13.136635941941435,546.5692138671875,CTX,2.284669865139302,,0.3696967300620774
26,mua,191.6,1919,0.7591990475104838,548.7279663085938,CTX,191.61676646037068,,2.128712871287129
33,mua,45.4,56418,22.320214623473934,553.48486328125,CTX,45.43142905189257,,0.5795899643600692
30,good,10.3,15340,6.068844913398031,555.851318359375,CTX,10.33591731231526,31.653177308289404,0.1572710156163473
32,good,3.3,53783,21.277750063708364,582.375,CTX,3.3252511254724197,2.2648531623994774,0.009489712289177415
31,mua,23.8,25382,10.041683284997967,584.6793823242188,CTX,23.77267952599037,38.446273702077455,0.5205382436260624
29,mua,155.8,1618,0.6401167581406789,588.9581298828125,CTX,155.84415583574298,,2.8205128205128207
35,good,1.1,20257,8.014119387920724,599.0913696289062,CTX,1.0705053256172832,1.0367346578801062,0.014602803738317757
34,mua,28.2,47072,18.62272931965268,612.848876953125,CTX,28.168032892882504,,0.4265227935749183
37,mua,88.7,63284,25.036556812221708,626.8199462890625,CTX,88.66194247456772,,0.8397819244105256
36,mua,91.4,54274,21.47200057560396,626.8485717773438,CTX,91.3529792037935,,0.8614819892031518
38,mua,145.8,9742,3.854151704453952,649.0108642578125,CTX,145.76493761592366,,1.218093093093093
39,mua,25.8,67797,26.821999908321143,654.4733276367188,CTX,25.763333061317173,21.1555036675679,0.35981577432354633
40,mua,211.4,8993,3.5578306588128092,700.1046752929688,CTX,211.38708443749556,,1.4989247311827958
42,mua,57.2,16726,6.617177315612482,702.7573852539062,CTX,57.15063273570524,,0.6764765992233803
41,mua,57.2,10253,4.056314660825946,707.9666137695312,CTX,57.236007967845,,0.4558862965942612
48,mua,27.8,33578,13.284203031426276,727.296875,CTX,27.767424522477125,,0.48047644635500625
46,mua,23.5,6763,2.675593099694321,730.2316284179688,CTX,23.460410555939614,,0.16022620169651272
45,good,0.0,657,0.2599238010497071,738.1071166992188,CTX,0.0,0.0,0.0
47,mua,27.4,17493,6.9206195612823835,742.1814575195312,CTX,27.356192616333722,,0.30160857908847183
44,mua,149.9,6419,2.5394990547002583,743.8521728515625,CTX,149.85590777393594,,1.353974121996303
43,mua,44.8,18440,7.295273807239876,749.934326171875,CTX,44.7840767705612,,0.4840046411403945
52,mua,49.7,32064,12.685230984562873,765.3553466796875,CTX,49.72571924381761,,0.6177936472513575
50,good,17.7,21888,8.659379234971063,766.4937744140625,CTX,17.673366021154173,36.63375466858581,0.23313999772546343
51,mua,155.9,4302,1.7019668068734244,770.325439453125,CTX,155.92203897366093,,1.0
49,good,15.2,32679,12.928538652212142,790.2333984375,CTX,15.192119908069252,12.959376815167472,0.47908232118758437
57,good,17.1,8638,3.417384769356727,799.13525390625,CTX,17.132367937584313,,0.23238153098420414
56,good,1.9,3693,1.461032872567075,801.6923828125,CTX,1.8758793184238391,,0.022307202039515615
55,good,0.0,1411,0.5582229578099492,805.0826416015625,CTX,0.0,0.0,0.0
54,mua,189.2,5494,2.1735484976668045,809.6605224609375,CTX,189.20634919916313,,1.7361111111111112
53,mua,43.7,30681,12.138085449019883,810.2553100585938,CTX,43.73626373268375,,0.6730962427164958
58,good,0.0,3437,1.3597535832691678,842.6435546875,CTX,0.0,0.0,0.06410256410256411
61,mua,60.0,19690,7.789801587014813,847.1752319335938,CTX,60.01250260087269,,0.6938937351308485
59,mua,169.2,3991,1.57892829526542,851.4287719726562,CTX,169.21465968139626,,1.3046757164404224
60,mua,66.5,7415,2.9335387896249285,855.4642944335938,CTX,66.46884272653621,,0.7822410147991543
65,good,0.9,93510,36.99463414940352,872.6962890625,CTX,0.8935647381676339,0.914084887606853,0.017240895965910687
62,mua,205.1,575,0.22748277869647118,877.8511352539062,CTX,205.128205123995,,1.5384615384615385
64,good,0.3,14331,5.669662089563702,879.1714477539062,CTX,0.34002040121467886,10.03087568174646,0.05507194883638302
63,mua,29.1,18137,7.175400273422431,891.9421997070312,CTX,29.063809965986817,,0.22080872330758747
67,good,0.0,3018,1.1939878714886087,927.9193115234375,CTX,0.0,0.0,0.0
68,mua,35.2,3009,1.1904272714742292,932.6470336914062,CTX,35.24229074778397,,0.9649122807017544
69,mua,52.4,26055,10.307937041628794,933.3778076171875,CTX,52.40828549803235,,0.5961479669825741
66,good,0.0,701,0.27733117889778486,939.7611694335938,CTX,0.0,0.0,0.0
72,good,1.1,5201,2.0576311860875593,956.0975341796875,CTX,1.0902153174869835,3.212366091066338,0.005577244841048523
70,mua,44.2,15546,6.150343091504941,967.37646484375,CTX,44.19572391779188,,0.6771720613287905
71,mua,79.0,7794,3.0834796124526895,967.621337890625,CTX,79.02714931411407,,1.0301507537688441
73,mua,143.4,9890,3.9127037935793045,983.28515625,CTX,143.3731592047237,,1.1906528189910979
74,mua,141.6,8517,3.369514480274513,1005.5782470703125,CTX,141.6137805959106,,1.1204050187101033
75,mua,140.7,5486,2.170383519876245,1006.634033203125,CTX,140.6915822540333,,1.1846001974333662
77,good,0.0,8227,3.2547840353667277,1062.6483154296875,CTX,0.0,1.260033453126358,0.20408163265306123
76,mua,172.6,11800,4.6683422410754085,1066.022705078125,CTX,172.63285267338415,,1.2452132576257757
79,good,4.5,1550,0.6132144469209223,1104.9130859375,HPC,4.504504504465847,,0.03225806451612903
80,mua,165.4,9530,3.7702797930041223,1105.8084716796875,HPC,165.35324208160276,,1.0493119266055047
78,mua,140.6,2866,1.1338532934679764,1107.63916015625,HPC,140.57507986635787,,1.5
82,mua,66.7,3931,1.555190961836223,1147.5198974609375,HPC,66.66666666326853,,1.0
81,mua,135.8,6870,2.717924677643056,1149.5631103515625,HPC,135.76580398381776,,0.8962536023054755
84,mua,149.4,3715,1.4697365614911138,1173.6036376953125,HPC,149.40577249021302,,1.3247011952191237
83,mua,92.0,9170,3.6278557924289405,1176.2711181640625,HPC,91.9917864426088,,0.9851301115241636
85,good,0.0,38963,15.414628706696707,1198.19384765625,HPC,0.0,0.11111928748553934,0.015654351909830933
89,good,14.8,29880,11.821192047740103,1203.643798828125,HPC,14.83003528740099,16.925048887783184,0.3239519202579889
88,mua,97.0,20726,8.199666210892282,1212.61376953125,HPC,96.97213559340791,,0.9055785902751601
87,good,0.0,1004,0.39720471271522967,1216.047607421875,HPC,0.0,0.0,0.0
86,good,3.2,22600,8.941062258330867,1216.7545166015625,HPC,3.218768999584925,6.518437987782455,0.015248796147672551
90,good,9.2,45835,18.133344628787402,1262.096923828125,HPC,9.164462023721034,6.798669407841268,0.31128695132875484
91,mua,145.6,5287,2.0916546973360752,1268.5537109375,HPC,145.57485524694619,,1.0694698354661791
92,mua,129.9,24901,9.851388995340573,1271.423828125,HPC,129.86885406319377,,0.9447250480187808
95,mua,95.2,8958,3.543983880979111,1286.162841796875,HPC,95.23809523144882,,0.6135401974612129
94,mua,178.5,7614,3.0122676121650986,1306.9345703125,HPC,178.4832451450967,,1.3812520702219278
93,mua,116.0,66159,26.173970705704065,1309.1307373046875,HPC,115.968295806277,,0.9456954934366377
98,good,7.6,26951,10.66241455417147,1341.424072265625,HPC,7.618778878742875,9.910644902514825,0.04811320754716981
99,mua,123.1,35028,13.857855255965205,1343.5479736328125,HPC,123.09101259278046,,0.9973288930516531
96,mua,187.7,5115,2.0236076748390435,1344.404052734375,HPC,187.71444382524874,,1.1479591836734693
101,good,1.8,3706,1.4661759614767342,1344.91796875,HPC,1.7961383026317688,24.304392518718824,0.010443258296588535
102,mua,64.6,15670,6.199400247258614,1346.02197265625,HPC,64.55906821545878,,0.6935442053409385
100,mua,201.4,1956,0.773837069791822,1348.2078857421875,HPC,201.39860139007214,,1.2
97,good,0.0,295,0.11670855602688522,1355.7359619140625,HPC,0.0,0.0,0.0
103,good,10.8,39450,15.607296729697023,1363.6138916015625,HPC,10.754849732975886,10.253327221042602,0.1546855327057977
106,mua,98.7,8963,3.545961992098211,1364.9876708984375,HPC,98.7499999934601,,0.9949195596951735
107,mua,48.6,59227,23.43151745018417,1366.1378173828125,HPC,48.57937472545275,,0.6735228642983025
104,mua,184.9,4205,1.6635914511628893,1370.7872314453125,HPC,184.91484184284977,,1.2578616352201257
105,good,0.0,344,0.13609404499406277,1373.565673828125,HPC,0.0,,0.0546448087431694
112,mua,108.5,12084,4.780698952640274,1395.1429443359375,HPC,108.45295055155138,,0.8392226148409894
111,mua,31.5,5736,2.2692890758312325,1396.742431640625,HPC,31.496062991049545,,0.4093567251461988
109,good,12.6,12263,4.8515153307040455,1397.14111328125,HPC,12.639453149607668,20.385414761805524,0.12444905366865439
108,good,13.0,1258,0.49769275756549697,1402.908203125,HPC,13.02931596080569,,0.11904761904761904
115,mua,40.9,68905,27.26034933231365,1410.151611328125,HPC,40.890576884513905,,0.36867836316106983
110,mua,116.1,6692,2.6475039218031045,1414.1494140625,HPC,116.10619468735007,,0.9477561955793704
114,mua,57.8,26750,10.58289448718366,1418.731201171875,HPC,57.76083015156515,,0.781347798873357
113,mua,71.1,26114,10.331278752834171,1419.045654296875,HPC,71.11494996928273,,0.7779466629818985
118,mua,123.5,20258,8.014515010144544,1436.7525634765625,HPC,123.45909599799528,,0.9602676704307821
120,mua,112.1,16170,6.3972113591685895,1439.46923828125,HPC,112.13698169440877,,0.9231590181430097
122,mua,20.2,18670,7.386266918718464,1446.6519775390625,HPC,20.21089630808984,40.88028891992285,0.3663515255694027
123,mua,33.0,15934,6.303844514347081,1458.62841796875,HPC,33.0076004328698,,0.3262455701480092
119,mua,42.9,9213,3.6448675480531985,1459.12548828125,HPC,42.87208086240447,,0.5864661654135338
117,good,0.0,3025,1.1967572270553484,1462.09912109375,HPC,0.0,0.0,0.0
121,mua,87.3,14919,5.902287957169833,1463.572265625,HPC,87.29256648539126,,0.752212389380531
116,mua,61.8,3629,1.435713050242598,1466.636474609375,HPC,61.77606177108657,,0.819672131147541
127,mua,149.6,6982,2.76223436671089,1473.04736328125,HPC,149.63932225555365,,0.7650273224043717
125,mua,51.4,8380,3.31531423561118,1475.7177734375,HPC,51.36986300880883,,0.8835341365461847
128,good,2.6,13874,5.488862733277985,1481.024169921875,HPC,2.643078471222259,3.562400656729825,0.6521739130434784
124,mua,135.7,16533,6.540822226415232,1490.3388671875,HPC,135.7116586926525,,0.9579604333490342
126,mua,90.3,30106,11.910602670323412,1491.674072265625,HPC,90.30521425217984,,0.7942838152210037
130,mua,88.2,42774,16.922345001674536,1537.6485595703125,HPC,88.21264380631884,,0.6521945808905086
129,mua,134.1,19472,7.7035559422220645,1544.405517578125,HPC,134.14477898353104,,1.0253439536567706
131,mua,117.4,9791,3.873537193421129,1566.087158203125,HPC,117.40041928020676,,0.8800419067574646
132,mua,98.3,19699,7.793362187029193,1567.6287841796875,HPC,98.25106878660344,,0.9481886257842543
133,mua,118.2,13470,5.329031354854725,1582.4456787109375,HPC,118.24900511171681,,1.0045257772530498
134,mua,99.9,14983,5.927607779494309,1609.666259765625,HPC,99.94660971323934,,0.973968996782685
135,mua,107.7,9799,3.8767021712116887,1611.0538330078125,HPC,107.69597331037173,,0.9695085849615157
140,mua,137.4,5514,2.181460942143204,1646.671142578125,HPC,137.36951983212253,,1.0109929717066137
138,good,14.9,9960,3.940397349246701,1647.69873046875,HPC,14.874141875762142,43.876487175160136,0.461361014994233
137,good,0.2,33031,13.067797674996765,1648.5931396484375,HPC,0.22993130801031825,0.23220992685542008,0.003958514765260075
139,mua,75.6,11417,4.516818929352368,1667.00732421875,HPC,75.55555555122507,,0.8688203622124328
136,good,0.0,1563,0.6183575358305816,1668.7030029296875,HPC,0.0,0.0,0.0
142,good,16.1,6597,2.6099198105402093,1676.186279296875,HPC,16.066838045916324,,0.12415933781686499
143,good,0.0,5799,2.2942132759318894,1676.8529052734375,HPC,0.0,11.257001132175898,0.014241633040588652
144,mua,149.3,5649,2.234869942358897,1693.172119140625,HPC,149.34210525695224,,1.3396226415094339
141,mua,119.6,15333,6.066075557831292,1694.698974609375,HPC,119.63335303895262,,1.0481344346340074
145,mua,107.1,18178,7.191620784599049,1745.724365234375,HPC,107.06840675498047,,1.0099626400996264
146,mua,124.6,8115,3.210474346298893,1746.5018310546875,HPC,124.62686566558168,,0.9566787003610108
147,mua,116.6,8994,3.5582262810366294,1748.5361328125,HPC,116.60692950420938,,1.2386018237082068
148,mua,120.3,18577,7.349474051903209,1756.7283935546875,HPC,120.30710172114117,,1.2158333333333333
149,mua,139.6,11934,4.721355619067282,1772.805419921875,HPC,139.59867918936476,,1.6604010025062657
150,mua,135.4,17989,7.116848184297078,1812.88720703125,HPC,135.3626942949057,,0.9689563303602456
151,mua,132.9,14648,5.795074334514626,1814.18701171875,HPC,132.8539633547119,,1.1175833107558928
152,mua,159.4,13064,5.168408731983825,1855.1988525390625,HPC,159.42028984532013,,1.1992420140768814
153,mua,182.8,24212,9.578805283128627,1856.607421875,HPC,182.81730570913754,,1.1136593329705358
154,mua,153.2,31493,12.459330694761682,1891.9034423828125,HPC,153.18518517627854,,0.9679146675805346
155,mua,175.8,24833,9.824486684120815,1893.3917236328125,HPC,175.84062642954638,,1.0533180632436216
159,mua,209.1,15318,6.060141224473992,1928.7998046875,HPC,209.11111110032402,,1.454197912071754
157,mua,167.9,36933,14.61151559234221,1935.87744140625,HPC,167.91940428201008,,1.500886001181335
156,mua,0.0,78,0.03085853345795609,1951.2362060546875,HPC,0.0,0.0,0.0
