unit,condition,vs_f0,ppc_f0,p_f0,n_spikes,vs_2f0,ppc_2f0,p_2f0,q_f0,q_2f0,reliable,locked_at_2f0_only,label,region,depth_um,fr_hz,cell_type
15,flicker_40Hz,0.03572445695933795,-0.0054718967099263585,0.82730371180092,149,0.17381183006704148,0.0236579208676815,0.010883695013578656,0.8909847143018271,0.24488313780551976,False,False,good,CTX,422.42724609375,0.5637616689434286,principal
25,flicker_40Hz,0.09698507941862722,0.009200460229303868,1.8790171516041953e-20,4818,0.02013902494112632,0.00019806643318270834,0.1416945842668837,8.455577182218879e-19,0.6305361029049693,True,False,good,CTX,480.804443359375,17.962435828097185,interneuron
23,flicker_40Hz,0.15780937885433655,0.02405441312064099,3.162674462446149e-13,1149,0.07313549421309136,0.0044823796083173295,0.0021306504607613405,7.1160175405038345e-12,0.09587927073426032,True,False,good,CTX,502.58251953125,6.988666583779414,principal
20,flicker_40Hz,0.05692370404665859,0.002659445791064298,0.003823841941496055,1717,0.009586193599130507,-0.0004908019231029963,0.854070455790145,0.024581841052474636,0.9150754883465838,True,False,good,CTX,511.6981201171875,7.8803990762695815,interneuron
27,flicker_40Hz,0.023338117871112292,0.00012331220940242586,0.2746108659882494,2373,0.03015095122679517,0.0004878779542565848,0.1156389717583327,0.6743828048428924,0.6305361029049693,True,False,good,CTX,546.5692138671875,13.136635941941435,interneuron
30,flicker_40Hz,0.1488517592854514,0.021345358147969302,2.162897629986464e-12,1206,0.0403499606852187,0.0007995949449976973,0.14036669213434583,3.2443464449796954e-11,0.6305361029049693,True,False,good,CTX,555.851318359375,6.068844913398031,interneuron
32,flicker_40Hz,0.04589286250768688,0.0019084346299874054,2.4024920017880526e-05,5048,0.004427265437748251,-0.00017853294454414455,0.9058016609125829,0.00021622428016092473,0.9479319707224705,True,False,good,CTX,582.375,21.277750063708364,principal
35,flicker_40Hz,0.06086825810760129,0.0032396038571250573,0.0003556729573669107,2142,0.02842851402173323,0.00034148642555557066,0.17709515314854127,0.00266754718025183,0.6305361029049693,True,False,good,CTX,599.0913696289062,8.014119387920724,principal
45,flicker_40Hz,0.04670618199320192,-0.014448841439678199,0.8762896957891118,61,0.11265734237282113,-0.0037634619296511786,0.4628694905266562,0.8909847143018271,0.6856354258668974,False,False,good,CTX,738.1071166992188,0.2599238010497071,principal
50,flicker_40Hz,0.03854441099376999,0.0009876594850007255,0.050761274284739324,2006,0.010589462577602805,-0.00038656047098703484,0.7985988669833695,0.2538063714236966,0.8806057415733957,True,False,good,CTX,766.4937744140625,8.659379234971063,interneuron
49,flicker_40Hz,0.06160754595959521,0.0034897179234973266,4.204490114715254e-06,3259,0.018258598197657214,2.6541962596573955e-05,0.3374298722782742,4.7300513790546605e-05,0.6856354258668974,True,False,good,CTX,790.2333984375,12.928538652212142,principal
57,flicker_40Hz,0.04562160169990014,0.0011327386505442403,0.11172208962790132,1053,0.019933211150722916,-0.0005528597425488523,0.6582078685142824,0.41895783610463,0.8098984271821779,True,False,good,CTX,799.13525390625,3.417384769356727,principal
56,flicker_40Hz,0.04279052971205468,-0.0015411630350933936,0.5809156726181703,297,0.061901893803530374,0.0004664114985461986,0.3207055376394013,0.8909847143018271,0.6856354258668974,True,False,good,CTX,801.6923828125,1.461032872567075,principal
55,flicker_40Hz,0.09487046181282427,0.002806657052857164,0.23508132980904978,161,0.10271676440102412,0.004366675774571845,0.18307276568178027,0.622274108318073,0.6305361029049693,False,False,good,CTX,805.0826416015625,0.5582229578099492,principal
58,flicker_40Hz,0.08278606748995543,0.0022768211408221994,0.22465208703654518,218,0.06218303759511779,-0.0007237457333033576,0.4309216132210076,0.622274108318073,0.6856354258668974,True,False,good,CTX,842.6435546875,1.3597535832691678,principal
65,flicker_40Hz,0.016188729682254356,0.00016101988684586794,0.07479467440537364,9894,0.009172132503918453,-1.694505436779405e-05,0.43503098541363006,0.3365760348241814,0.6856354258668974,True,False,good,CTX,872.6962890625,36.99463414940352,interneuron
64,flicker_40Hz,0.03016726570961352,-0.0005337076635356422,0.5323985923777479,693,0.028919887882159576,-0.0006075181774915326,0.5602901416596763,0.8909847143018271,0.747481530149411,True,False,good,CTX,879.1714477539062,5.669662089563702,principal
67,flicker_40Hz,0.03947084091582962,-0.003484689347283115,0.7339059233286395,199,0.05691486754709293,-0.0017948427907438223,0.5254372595408753,0.8909847143018271,0.7388961462293558,False,False,good,CTX,927.9193115234375,1.1939878714886087,principal
66,flicker_40Hz,0.10144333678457577,-0.011702788298055827,0.6253339621752843,46,0.20339244968246337,0.020065566112007473,0.14927920999164537,0.8909847143018271,0.6305361029049693,False,False,good,CTX,939.7611694335938,0.27733117889778486,principal
72,flicker_40Hz,0.05803913476167497,0.0010931268743036946,0.22801350897978157,439,0.03516347502559409,-0.0010438120561429697,0.5813745234495419,0.622274108318073,0.747481530149411,True,False,good,CTX,956.0975341796875,2.0576311860875593,principal
77,flicker_40Hz,0.03172625067759924,-0.0003770924487149067,0.4831543253249556,723,0.04645130968668786,0.0007756711579958512,0.2101787009683231,0.8909847143018271,0.6305361029049693,True,False,good,HPC,1062.6483154296875,3.2547840353667277,principal
79,flicker_40Hz,0.026031280588720306,-0.004637916965118289,0.8800687734401583,189,0.09967987369755231,0.00466977975876615,0.15295452312522645,0.8909847143018271,0.6305361029049693,False,False,good,HPC,1104.9130859375,0.6132144469209223,principal
85,flicker_40Hz,0.017898493112477536,4.328298365075878e-05,0.3147119755933498,3609,0.026157404268383273,0.0004072375723939091,0.08463617911193218,0.6743828048428924,0.6305361029049693,True,False,good,HPC,1198.19384765625,15.414628706696707,interneuron
89,flicker_40Hz,0.023203840399486225,0.00019543207963804976,0.20816356758971566,2915,0.017614875360950407,-3.278058474365185e-05,0.40478776077316364,0.622274108318073,0.6856354258668974,True,False,good,HPC,1203.643798828125,11.821192047740103,principal
87,flicker_40Hz,0.11859961190022157,0.002187143460267314,0.30769332007379735,84,0.1430104665701475,0.008650210338353581,0.17969051962182922,0.6743828048428924,0.6305361029049693,False,False,good,HPC,1216.047607421875,0.39720471271522967,principal
86,flicker_40Hz,0.007524838020763181,-0.00043402616350355424,0.8909847143018271,2039,0.012534206948681565,-0.0003334937021225627,0.7259501904174906,0.8909847143018271,0.8376348350971046,True,False,good,HPC,1216.7545166015625,8.941062258330867,unclassified
90,flicker_40Hz,0.007087784603112039,-0.0001821476374025558,0.8055771390867802,4304,0.01472644762449138,-1.5477343835192866e-05,0.39323685583353124,0.8909847143018271,0.6856354258668974,True,False,good,HPC,1262.096923828125,18.133344628787402,principal
98,flicker_40Hz,0.013231688383828866,-0.0002130532153791307,0.6369226029238659,2577,0.025062108873439824,0.00024015437467063568,0.19818035527661915,0.8909847143018271,0.6305361029049693,True,False,good,HPC,1341.424072265625,10.66241455417147,principal
101,flicker_40Hz,0.016177966272322347,-0.0019748243545114922,0.8894691600492136,448,0.029277914337994707,-0.001378022532312384,0.681350879567368,0.8909847143018271,0.8098984271821779,True,False,good,HPC,1344.91796875,1.4661759614767342,principal
97,flicker_40Hz,0.09536556321733544,-0.01292552956006796,0.660487077886263,46,0.1649264065356718,0.0055829577854979075,0.28761642327607645,0.8909847143018271,0.6856354258668974,False,False,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,flicker_40Hz,0.011115941193107501,-0.00013688816601794296,0.622233901699691,3840,0.014016213326124093,-6.397909188509317e-05,0.4703288765742627,0.8909847143018271,0.6856354258668974,True,False,good,HPC,1363.6138916015625,15.607296729697023,principal
105,flicker_40Hz,0.060355532711301264,-0.014808269109489397,0.819774173720193,55,0.12111568302509394,-0.0035778615350939512,0.4482395615104449,0.8909847143018271,0.6856354258668974,False,False,good,HPC,1373.565673828125,0.13609404499406277,principal
109,flicker_40Hz,0.016865836053005012,-0.00042405919689384597,0.6692893292131313,1412,0.019959179790648846,-0.00031006603304280033,0.5698661983581054,0.8909847143018271,0.747481530149411,True,False,good,HPC,1397.14111328125,4.8515153307040455,principal
108,flicker_40Hz,0.14353266635131878,0.01411554436495158,0.04339913297051994,152,0.0883554406531159,0.0012358672300460621,0.3057377646347041,0.24412012295917468,0.6856354258668974,False,False,good,HPC,1402.908203125,0.49769275756549697,principal
117,flicker_40Hz,0.033304549194935376,-0.005779709120183662,0.8509227360733821,146,0.05108257573314299,-0.004269126114788178,0.6839142273982836,0.8909847143018271,0.8098984271821779,False,False,good,HPC,1462.09912109375,1.1967572270553484,principal
128,flicker_40Hz,0.037981116501423134,0.0007975022683243245,0.1070329950012105,1549,0.022007625902602815,-0.00016134635587923232,0.47232662670830705,0.41895783610463,0.6856354258668974,True,False,good,HPC,1481.024169921875,5.488862733277985,principal
138,flicker_40Hz,0.012370446112029867,-0.0008438284658437912,0.8576412055045994,1004,0.007393765325429664,-0.000942286703140303,0.9466177924665907,0.8909847143018271,0.9681318332044678,True,False,good,HPC,1647.69873046875,3.940397349246701,principal
137,flicker_40Hz,0.018015372259112705,-2.0519005224538095e-05,0.39044409553952064,2898,0.035333641366859236,0.0009037124898435665,0.026821262394344594,0.7913252919452056,0.4023189359151689,True,False,good,HPC,1648.5931396484375,13.067797674996765,principal
136,flicker_40Hz,0.04779507904205105,-0.0026548167085688654,0.629486526424612,203,0.06843826249165778,-0.0002435121688413769,0.38690265877916713,0.8909847143018271,0.6856354258668974,True,False,good,HPC,1668.7030029296875,0.6183575358305816,interneuron
142,flicker_40Hz,0.04510377322537796,0.0004116419857665922,0.2857094454420453,616,0.03684031426501124,-0.0002666006615135104,0.43359441398723336,0.6743828048428924,0.6856354258668974,True,False,good,HPC,1676.186279296875,2.6099198105402093,interneuron
143,flicker_40Hz,0.012460325927219552,-0.0011365293479138007,0.8866957490828539,775,0.036188200005219565,1.9288126878261246e-05,0.36254506383679214,0.8909847143018271,0.6856354258668974,True,False,good,HPC,1676.8529052734375,2.2942132759318894,interneuron
158,flicker_40Hz,0.08189137331056043,-0.03844352129446091,0.8596723117513305,23,0.036378952854579184,-0.04407096141598632,0.9706390000653237,0.8909847143018271,0.9706390000653238,False,False,good,HPC,1960.6185302734375,0.09059748925476853,interneuron
170,flicker_40Hz,0.01863494066377582,-3.6335586222119835e-05,0.40445514921643844,2607,0.02288429458442431,0.00014016204029157253,0.2553349236384099,0.7913252919452056,0.6856354258668974,True,False,good,HPC,2025.796142578125,11.272464023301833,principal
174,flicker_40Hz,0.05066166884877842,0.0011314487260692479,0.16759252322270204,696,0.01779418095687689,-0.0011217604580653932,0.8023296756557605,0.580127965001661,0.8806057415733957,True,False,good,HPC,2044.546142578125,3.1926713462269958,principal
175,flicker_40Hz,0.011414267716021866,-0.00016241639955982262,0.6407378085463653,3417,0.031072508308401473,0.0006730433664786572,0.03690420344822764,0.8909847143018271,0.41517228879256096,True,False,good,HPC,2050.2314453125,14.512214414163402,interneuron
15,flicker_20Hz,0.3038889323331491,0.051091596067062275,0.119200291948006,23,0.165690133546678,-0.01675345144734238,0.536812335916716,0.24381877898455775,0.7935410299731681,False,False,good,CTX,422.42724609375,0.5637616689434286,principal
