unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz
1,flicker_40Hz,1973,9.0625,7.291666666666666,1.2428571428571429,0.10828025477707011,0.03489110125270389,0.017445550626351947,-0.000202597820525614,0.5486082713074895,301.70531543764645,True,0.8359745086590316,False,mua,CTX,72.90603637695312,7.531064652636566
0,flicker_40Hz,812,3.8541666666666665,2.7430555555555554,1.4050632911392404,0.16842105263157897,0.08346556691943369,0.04173278345971684,0.0005107270959556594,0.24318214497813723,351.9609490324983,True,0.7341347772924898,False,mua,CTX,73.41268920898438,3.241728501980669
3,flicker_40Hz,3814,16.631944444444443,14.583333333333334,1.1404761904761904,0.0656284760845383,0.0018916833170693759,0.0009458416585346879,-0.00026136583605725755,0.9965941923381803,333.37791902338284,True,0.9965941923381803,False,mua,CTX,79.40536499023438,15.250445483811427
2,flicker_40Hz,1109,5.555555555555555,3.923611111111111,1.415929203539823,0.17216117216117213,0.042445550722455046,0.021222775361227523,-0.00045171437799391994,0.606936231436209,291.47608027834366,True,0.8795603382774275,False,mua,CTX,81.89913940429688,4.824613019484289
6,flicker_40Hz,927,4.340277777777779,3.159722222222222,1.373626373626374,0.15740740740740755,0.06730956481404929,0.033654782407024644,5.3953930029255685e-05,0.35004543522691445,348.52130008432374,True,0.7489160628920196,False,mua,CTX,125.71984100341797,3.673747970392055
5,flicker_40Hz,1271,5.972222222222222,4.444444444444445,1.34375,0.14666666666666664,0.057038513528688994,0.028519256764344497,2.658686308855471e-05,0.35573512987370937,255.21093820900452,True,0.7489160628920196,False,mua,CTX,125.89278411865234,5.509039466692802
4,flicker_40Hz,607,3.1944444444444446,1.7708333333333333,1.8039215686274512,0.2867132867132868,0.11555930475137417,0.057779652375687086,0.0016938322686365216,0.13179804902710987,32.1162141321021,True,0.5903036006369856,False,mua,CTX,130.6201171875,2.44929718766931
7,flicker_40Hz,367,2.0138888888888893,1.1458333333333333,1.757575757575758,0.27472527472527486,0.19595505104295152,0.09797752552147576,0.006893583473178407,0.02940121327289608,224.4199745673043,True,0.2767173013919631,False,mua,CTX,186.6515655517578,1.428591850213839
8,flicker_40Hz,710,3.4027777777777777,2.1527777777777777,1.5806451612903225,0.225,0.09976850990269756,0.04988425495134878,0.0010815114433798693,0.17090516725449187,301.0725403370702,True,0.6054553020189495,False,mua,CTX,218.69528198242188,2.2700803202788724
9,flicker_40Hz,530,2.6041666666666665,1.8055555555555556,1.4423076923076923,0.18110236220472437,0.00691554086308303,0.003457770431541515,-0.0018783803904171292,0.9936891775150094,243.09448027771228,True,0.9965941923381803,False,mua,CTX,250.51275634765625,2.1213263641225715
