unit,label,contam_pct,n_spikes,fr_hz,depth_um,contam_pct_recomputed,hill_fp_pct,region,near_boundary,template,peak_channel,trough_to_peak_ms,half_width_ms,peak_trough_ratio,amplitude_au,repolarises,positive_dominant,burst_index,theta_index,rhythmicity_reliable,cell_type,cell_type_consistent
15,good,0.0,1425,0.5637616689434286,422.42724609375,0.0,0.0,CTX,False,15,21,0.7666666666666667,0.23333333333333334,0.2013145582254529,557.6273193359375,True,False,3.571428571428571,-0.03937007874015748,True,principal,True
25,good,1.8,45403,17.962435828097185,480.804443359375,1.7939007374195628,10.031738793191813,CTX,False,25,24,0.23333333333333334,0.13333333333333333,0.31960997831189075,506.322509765625,True,False,1.4954101273319513,-0.03114774929317957,True,interneuron,True
23,good,7.6,17665,6.988666583779414,502.58251953125,7.611673469592868,13.038056222082833,CTX,False,23,25,0.6666666666666666,0.2,0.19801289004402073,967.6318969726562,True,False,3.1272805323030695,-0.03651946066925049,True,principal,True
20,good,8.8,19919,7.8803990762695815,511.6981201171875,8.769792934997229,12.349886699336043,CTX,False,20,26,0.26666666666666666,0.16666666666666666,0.3489967617807539,382.8197326660156,True,False,0.6676455742669665,-0.04061576157882121,True,interneuron,True
27,good,2.3,33205,13.136635941941435,546.5692138671875,2.284669865139302,,CTX,False,27,27,0.3666666666666667,0.23333333333333334,0.31516582368123847,363.623779296875,True,False,1.2938958755195566,0.0026975346581984876,True,interneuron,True
30,good,10.3,15340,6.068844913398031,555.851318359375,10.33591731231526,31.653177308289404,CTX,False,30,28,0.23333333333333334,0.13333333333333333,0.3115298644018316,553.0657958984375,True,False,1.7761516247511704,-0.050855973872160225,True,interneuron,True
32,good,3.3,53783,21.277750063708364,582.375,3.3252511254724197,2.2648531623994774,CTX,False,32,29,1.0666666666666667,0.23333333333333334,0.16701554370353902,521.6802368164062,True,False,10.254019007016609,0.1472364672364672,True,principal,False
35,good,1.1,20257,8.014119387920724,599.0913696289062,1.0705053256172832,1.0367346578801062,CTX,False,35,30,0.7333333333333334,0.2,0.22634219493764424,752.0076293945312,True,False,0.5135311379197913,0.09827240420815592,True,principal,True
45,good,0.0,657,0.2599238010497071,738.1071166992188,0.0,0.0,CTX,False,45,37,1.1,0.23333333333333334,0.058799514394706445,311.93505859375,True,True,10.714285714285715,,False,principal,False
50,good,17.7,21888,8.659379234971063,766.4937744140625,17.673366021154173,36.63375466858581,CTX,False,50,38,0.23333333333333334,0.13333333333333333,0.33498246405256005,479.8561706542969,True,False,0.5366463847793187,-0.02180304708083543,True,interneuron,True
49,good,15.2,32679,12.928538652212142,790.2333984375,15.192119908069252,12.959376815167472,CTX,False,49,39,0.6,0.23333333333333334,0.22442150034954722,235.312255859375,True,False,0.23028942404499322,0.026344168849175783,True,principal,True
57,good,17.1,8638,3.417384769356727,799.13525390625,17.132367937584313,,CTX,False,57,41,0.7333333333333334,0.2,0.20149041844111207,277.3281555175781,True,False,1.6109532732877954,-0.05626342161775226,True,principal,True
56,good,1.9,3693,1.461032872567075,801.6923828125,1.8758793184238391,,CTX,False,56,41,0.7,0.23333333333333334,0.24695781311714343,820.8717651367188,True,False,12.50486949746786,-0.42773355676581476,True,principal,True
55,good,0.0,1411,0.5582229578099492,805.0826416015625,0.0,0.0,CTX,False,55,41,0.7333333333333334,0.16666666666666666,0.19566572579097813,654.1967163085938,True,False,0.6134969325153374,0.13513513513513514,True,principal,True
58,good,0.0,3437,1.3597535832691678,842.6435546875,0.0,0.0,CTX,False,58,43,0.9,0.23333333333333334,0.19546301902301427,425.91015625,True,False,0.05342831700801425,0.09394467979068026,True,principal,True
65,good,0.9,93510,36.99463414940352,872.6962890625,0.8935647381676339,0.914084887606853,CTX,False,65,44,0.3666666666666667,0.2,0.3554238007474953,521.2315673828125,True,False,0.02807100004569698,-0.010266183666244804,True,interneuron,True
64,good,0.3,14331,5.669662089563702,879.1714477539062,0.34002040121467886,10.03087568174646,CTX,False,64,44,0.9,0.16666666666666666,0.16639654007756424,903.9124145507812,True,False,0.15820749620559257,-0.012621074258878779,True,principal,True
67,good,0.0,3018,1.1939878714886087,927.9193115234375,0.0,0.0,CTX,False,67,47,0.7333333333333334,0.16666666666666666,0.257573788600339,753.3724975585938,True,False,0.5779269202087994,0.0856327307326356,True,principal,True
66,good,0.0,701,0.27733117889778486,939.7611694335938,0.0,0.0,CTX,False,66,47,0.7666666666666667,0.2,0.21566134875911863,681.6351928710938,True,False,,0.125,False,principal,True
72,good,1.1,5201,2.0576311860875593,956.0975341796875,1.0902153174869835,3.212366091066338,CTX,False,72,48,0.9,0.2,0.20393236018646793,655.6832275390625,True,False,1.6487730061349695,0.24836601307189546,True,principal,True
77,good,0.0,8227,3.2547840353667277,1062.6483154296875,0.0,1.260033453126358,HPC,True,77,53,0.6,0.26666666666666666,0.21690481452135274,241.4016876220703,True,False,0.03663450970814507,0.003618817852834792,True,principal,True
