unit,region,depth_um,fr_hz,condition,n_cycle_spikes,mod_depth,mod_depth_norm,fr_peak,fr_trough,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_p_fdr
65,CTX,872.6962890625,36.99463414940352,flicker_40Hz,9894,1.1488413547237075,0.06926586478639564,44.75694444444444,38.958333333333336,0.016188729682254356,0.00016101988684586794,0.07479467440537364,58.73411909256259,True,0.43630226736467953
32,CTX,582.375,21.277750063708364,flicker_40Hz,5048,1.259597806215722,0.1148867313915857,23.92361111111111,18.993055555555557,0.04589286250768688,0.0019084346299874054,2.4024920017880526e-05,37.72457947249057,True,0.00028029073354193947
25,CTX,480.804443359375,17.962435828097185,flicker_40Hz,4818,1.534188034188034,0.21079258010118038,24.930555555555554,16.25,0.09698507941862722,0.009200460229303868,1.8790171516041953e-20,358.24530379711865,True,6.576560030614683e-19
27,CTX,546.5692138671875,13.136635941941435,flicker_40Hz,2373,1.253968253968254,0.11267605633802813,10.972222222222221,8.75,0.023338117871112292,0.00012331220940242586,0.2746108659882494,103.00568823451651,True,0.7867799389833745
35,CTX,599.0913696289062,8.014119387920724,flicker_40Hz,2142,1.453658536585366,0.18489065606361835,10.347222222222221,7.1180555555555545,0.06086825810760129,0.0032396038571250573,0.0003556729573669107,341.1244332042339,True,0.0031121383769604685
20,CTX,511.6981201171875,7.8803990762695815,flicker_40Hz,1717,1.3333333333333333,0.14285714285714282,8.194444444444445,6.145833333333334,0.05692370404665859,0.002659445791064298,0.003823841941496055,332.7263824921973,True,0.026766893590472386
23,CTX,502.58251953125,6.988666583779414,flicker_40Hz,1149,2.210526315789474,0.3770491803278688,7.291666666666667,3.298611111111111,0.15780937885433655,0.02405441312064099,3.162674462446149e-13,18.41710023155251,True,5.53468030928076e-12
64,CTX,879.1714477539062,5.669662089563702,flicker_40Hz,693,1.6515151515151514,0.24571428571428566,3.7847222222222223,2.291666666666667,0.03016726570961352,-0.0005337076635356422,0.5323985923777479,359.0163404748975,True,0.8909847143018271
77,CTX,1062.6483154296875,3.2547840353667277,flicker_40Hz,723,1.7076923076923076,0.26136363636363635,3.854166666666667,2.2569444444444446,0.03172625067759924,-0.0003770924487149067,0.4831543253249556,40.62603928222681,True,0.8909847143018271
72,CTX,956.0975341796875,2.0576311860875593,flicker_40Hz,439,2.0625,0.34693877551020413,2.291666666666667,1.1111111111111112,0.05803913476167497,0.0010931268743036946,0.22801350897978157,277.5827678863256,True,0.7479860493924311
