unit,label,region,depth_um,n_trials,count_pre,count_post,fr_pre,fr_post,pct_change,mod_index,p_raw,p_fdr,significant
15,good,CTX,422.42724609375,60,56,18,0.4666666666666667,0.15,-67.85714285714286,-0.5135135135135135,0.04986615336549076,0.15866503343565241,False
25,good,CTX,480.804443359375,60,2748,2933,22.9,24.441666666666666,6.73216885007278,0.032564689315261394,0.35149297421526104,0.49209016390136545,False
23,good,CTX,502.58251953125,60,526,590,4.383333333333334,4.916666666666667,12.167300380228136,0.05734767025089606,0.2389693504472019,0.440206698192214,False
20,good,CTX,511.6981201171875,60,1176,1335,9.8,11.125,13.520408163265307,0.06332138590203107,0.17755544385639732,0.43211653588626914,False
27,good,CTX,546.5692138671875,60,1149,1214,9.575,10.116666666666667,5.657093124456049,0.027507405840033854,0.2846547220088832,0.474424536681472,False
32,good,CTX,582.375,60,2528,2433,21.066666666666666,20.275,-3.757911392405063,-0.01914936504736948,0.2199524556782444,0.440206698192214,False
35,good,CTX,599.0913696289062,60,1150,668,9.583333333333334,5.566666666666666,-41.91304347826087,-0.26512651265126513,5.077862708213282e-09,8.886259739373244e-08,True
45,good,CTX,738.1071166992188,60,42,13,0.35,0.10833333333333334,-69.04761904761905,-0.5272727272727272,0.0022359278228041898,0.013042912299691107,True
56,good,CTX,801.6923828125,60,172,330,1.4333333333333333,2.75,91.86046511627907,0.3147410358565737,0.00040328788739563,0.003528769014711763,True
55,good,CTX,805.0826416015625,60,78,33,0.65,0.275,-57.69230769230769,-0.40540540540540543,0.003501948967014115,0.017509744835070576,True
58,good,CTX,842.6435546875,60,63,57,0.525,0.475,-9.523809523809524,-0.05,0.6166094995541831,0.7993086105332003,False
65,good,CTX,872.6962890625,60,4328,4863,36.06666666666667,40.525,12.361367837338262,0.05820911761505821,0.006301366848174613,0.027568479960763934,True
64,good,CTX,879.1714477539062,60,655,2284,5.458333333333333,19.033333333333335,248.70229007633588,0.5542701599183396,1.661660208134827e-11,5.815810728471895e-10,True
67,good,CTX,927.9193115234375,60,62,18,0.5166666666666667,0.15,-70.96774193548387,-0.55,0.015395139010134602,0.05388298653547111,False
66,good,CTX,939.7611694335938,60,32,11,0.26666666666666666,0.09166666666666666,-65.625,-0.4883720930232558,0.09273286077918681,0.2704708439392949,False
72,good,CTX,956.0975341796875,60,317,163,2.6416666666666666,1.3583333333333334,-48.58044164037855,-0.32083333333333336,1.2018961353261631e-05,0.00014022121578805236,True
77,good,CTX,1062.6483154296875,60,376,394,3.1333333333333333,3.283333333333333,4.787234042553192,0.023376623376623377,0.9882343818245393,0.9882343818245393,False
79,good,HPC,1104.9130859375,60,99,25,0.825,0.20833333333333334,-74.74747474747475,-0.5967741935483871,0.0012281278772107223,0.008596895140475057,True
85,good,HPC,1198.19384765625,60,1825,1710,15.208333333333334,14.25,-6.301369863013699,-0.03253182461103253,0.32542846133362524,0.4814397037048015,False
87,good,HPC,1216.047607421875,60,25,20,0.20833333333333334,0.16666666666666666,-20.0,-0.1111111111111111,0.3301300825404353,0.4814397037048015,False
86,good,HPC,1216.7545166015625,60,942,865,7.85,7.208333333333333,-8.174097664543524,-0.04261206419479801,0.3007887579072356,0.47852756939787483,False
90,good,HPC,1262.096923828125,60,2088,2226,17.4,18.55,6.609195402298851,0.031988873435326845,0.2340560118673496,0.440206698192214,False
98,good,HPC,1341.424072265625,60,1319,1477,10.991666666666667,12.308333333333334,11.978771796815769,0.056509298998569386,0.19753898783372303,0.43211653588626914,False
101,good,HPC,1344.91796875,60,219,212,1.825,1.7666666666666666,-3.1963470319634704,-0.016241299303944315,0.8883539689922703,0.9421936034766503,False
97,good,HPC,1355.7359619140625,60,14,11,0.11666666666666667,0.09166666666666666,-21.428571428571427,-0.12,0.8138014949270996,0.8900953850765152,False
105,good,HPC,1373.565673828125,60,15,11,0.125,0.09166666666666666,-26.666666666666668,-0.15384615384615385,0.6564198813361919,0.8205248516702399,False
117,good,HPC,1462.09912109375,60,65,60,0.5416666666666666,0.5,-7.6923076923076925,-0.04,0.8019433142433097,0.8900953850765152,False
128,good,HPC,1481.024169921875,60,729,779,6.075,6.491666666666666,6.858710562414266,0.033156498673740056,0.13988501489208224,0.3766135016325291,False
137,good,HPC,1648.5931396484375,60,1658,1509,13.816666666666666,12.575,-8.986731001206273,-0.047047679191664034,0.19751924173184543,0.43211653588626914,False
136,good,HPC,1668.7030029296875,60,49,77,0.4083333333333333,0.6416666666666667,57.142857142857146,0.2222222222222222,0.746582880532858,0.8900953850765152,False
143,good,HPC,1676.8529052734375,60,379,355,3.158333333333333,2.9583333333333335,-6.332453825857519,-0.0326975476839237,0.8048499932361484,0.8900953850765152,False
158,good,HPC,1960.6185302734375,60,12,5,0.1,0.041666666666666664,-58.333333333333336,-0.4117647058823529,0.28462110296142884,0.474424536681472,False
170,good,HPC,2025.796142578125,60,1271,1245,10.591666666666667,10.375,-2.045633359559402,-0.010333863275039745,0.47722506429719025,0.6424183557846792,False
174,good,HPC,2044.546142578125,60,318,542,2.65,4.516666666666667,70.44025157232704,0.26046511627906976,0.012999874847011733,0.05055506884949008,False
175,good,HPC,2050.2314453125,60,1741,1747,14.508333333333333,14.558333333333334,0.3446295232624928,0.0017201834862385322,0.9471563173156228,0.9750138560601999,False
