unit,condition,n_trials,fr_pre_hz,fr_stim_hz,baseline_sd_hz,z_stim,z_stim_sem,delta_hz,mod_index,pct_change,p_wilcoxon,p_permutation,q_wilcoxon,z_pct_population,responder,direction,label,region,depth_um,fr_hz,cell_type,responder_legacy
15,flicker_40Hz,60,0.475,0.6208333333333333,1.660674255551295,0.08781573679837713,0.10199488204595858,0.14583333333333337,0.1330798479087453,30.70175438596492,0.07739057288927044,0.38296170382961703,0.24297859157163298,0.10308079843297308,False,none,good,CTX,422.42724609375,0.5637616689434286,principal,False
25,flicker_40Hz,60,23.241666666666667,20.083333333333332,17.623292480496012,-0.17921357980233904,0.11802273787284293,-3.158333333333335,-0.07289863435276019,-13.589100035855152,0.006027054851211096,0.0037996200379962005,0.030135274256055482,-0.4148074786809097,True,down,good,CTX,480.804443359375,17.962435828097185,interneuron,False
23,flicker_40Hz,60,4.025,4.7875,4.1644429094133,0.18309771957167326,0.14564144919778158,0.7624999999999993,0.08652482269503538,18.94409937888197,0.044998044926736654,0.007599240075992401,0.15576246320793458,-0.034400218223995305,False,none,good,CTX,502.58251953125,6.988666583779414,principal,False
20,flicker_40Hz,60,9.608333333333333,7.1625,6.532896978971358,-0.3743872498228868,0.09232636292677047,-2.445833333333333,-0.14583850931677017,-25.455333911535124,0.00015586852722649082,9.999000099990002e-05,0.0023380279083973624,-0.5535580965664555,True,down,good,CTX,511.6981201171875,7.8803990762695815,interneuron,False
27,flicker_40Hz,60,9.841666666666667,9.8875,15.270302314242556,0.0030014686278073484,0.1297140601875901,0.045833333333332504,0.002323125659978839,0.46570702794241325,0.6058767695361778,0.953004699530047,0.8018957243861177,-0.25046610594251856,False,none,good,CTX,546.5692138671875,13.136635941941435,interneuron,False
30,flicker_40Hz,60,6.091666666666667,5.025,5.49536913418052,-0.19410282378159663,0.10473072958938938,-1.0666666666666664,-0.09595202398800597,-17.510259917920653,0.005976227073999813,0.009999000099990002,0.030135274256055482,-0.4606571865296374,True,down,good,CTX,555.851318359375,6.068844913398031,interneuron,False
32,flicker_40Hz,60,20.408333333333335,21.045833333333334,5.402048941685144,0.11801077829575034,0.09766842119464235,0.6374999999999993,0.0153784299929641,3.1237239689669214,0.3991641910936632,0.3077692230776922,0.665273651822772,-0.21938619492936529,False,none,good,CTX,582.375,21.277750063708364,principal,False
35,flicker_40Hz,60,9.825,8.916666666666666,3.006807248645725,-0.3020923052990672,0.10226476932436059,-0.9083333333333332,-0.04846598488216985,-9.245122985581,0.023287767557484938,0.041495850414958506,0.10479495400868222,-0.3640138143961131,False,none,good,CTX,599.0913696289062,8.014119387920724,principal,False
45,flicker_40Hz,60,0.26666666666666666,0.25416666666666665,0.38473705159505567,-0.0324897223913763,0.11083012871067795,-0.012500000000000011,-0.024000000000000025,-4.687500000000004,0.949549174230631,0.8802119788021198,0.9711298372813272,-0.31072201078226497,False,none,good,CTX,738.1071166992188,0.2599238010497071,principal,False
50,flicker_40Hz,60,6.258333333333334,8.358333333333333,8.204738020723182,0.2559496713601224,0.10987706262466404,2.0999999999999988,0.14367160775370572,33.55525965379492,0.0015634331420599531,0.04459554044595541,0.011725748565449648,0.13644653377909058,True,up,good,CTX,766.4937744140625,8.659379234971063,interneuron,False
