session,animal_id,genotype,region,condition,n_clusters,n_trials,fr_pre_hz,fr_stim_hz,delta_hz,pct_change,mod_index,peak_z,trough_z,mean_z,baseline_sigma_hz,p_wilcoxon,p_permutation,direction
2026-04-14_11-46-55,XU20,5xFAD,CTX,flicker_20Hz,56,60,353.9583333333333,406.5375,52.57916666666671,14.854620364920553,0.06913800754989896,15.117968169201234,-2.676769023030488,1.3625715329415782,38.58818813949275,0.02878609799823175,0.006199380061993801,up
2026-04-14_11-46-55,XU20,5xFAD,CTX,flicker_40Hz,56,60,363.225,391.0833333333333,27.85833333333329,7.669718035193968,0.036932288962294314,5.061832409962541,-2.587131103769078,1.041143527133746,26.757437958652005,0.8597604815815457,0.2746725327467253,up
2026-04-14_11-46-55,XU20,5xFAD,CTX,phase_reversing_1,56,60,395.8,400.9375,5.137499999999989,1.2980040424456767,0.006448171449191219,4.089459179556839,-2.3184751353751,0.13566248300671496,37.86971818690437,0.6587079915142839,0.7972202779722027,up
2026-04-14_11-46-55,XU20,5xFAD,CTX,static,56,60,405.96666666666664,410.89166666666665,4.925000000000011,1.21315378930947,0.006029197229221727,6.757456839823672,-2.8745081245433535,0.14855144295252903,33.15349822333149,0.5076181597232343,0.8392160783921608,up
2026-04-14_11-46-55,XU20,5xFAD,HPC,flicker_20Hz,106,60,695.4666666666667,828.4,132.93333333333328,19.114263803680974,0.0872342287164231,8.420773549331049,-1.1303544359093323,1.8294859944831239,72.66157474514604,0.0029386115747507403,0.0012998700129987,up
2026-04-14_11-46-55,XU20,5xFAD,HPC,flicker_40Hz,106,60,733.3166666666667,801.8,68.48333333333323,9.338848610195672,0.04461115876100615,4.017389539204685,-2.4687176193626676,1.039446736137022,65.88440845737159,0.4395411325269485,0.198980101989801,up
2026-04-14_11-46-55,XU20,5xFAD,HPC,phase_reversing_1,106,60,784.4916666666667,814.875,30.383333333333326,3.872996313961269,0.01899710301994539,4.023348525148028,-2.443112494912792,0.3924220519164739,77.42514261099771,0.4351951516807502,0.41685831416858316,up
2026-04-14_11-46-55,XU20,5xFAD,HPC,static,106,60,808.2666666666667,828.8416666666667,20.575000000000045,2.5455707687231994,0.01256789155675915,4.257613861556202,-2.1960848712357777,0.2563414120216119,80.26405034495691,0.796671651975357,0.6637336266373363,up
